id_three,Date,Warehouse Code,Customer Code,Order Number,Order Line Number,Item Code,Units,Euros,asli_date
1165030,25-05-2021,3403434,906625050,21021776,9,119902451313,114,876.58,2021-05-25 00:00:00
724937,30-03-2021,3403434,500347474,21020633,14,119902451313,6,35.51,2021-03-30 00:00:00
374241,16-02-2021,3403434,500291515,21008835,32,119902451313,6,35.59,2021-02-16 00:00:00
1047423,11-05-2021,3403434,500291515,21031660,48,119902451313,6,35.51,2021-05-11 00:00:00
1509109,28-06-2021,3403434,500291515,21024888,92,119902451313,6,31.96,2021-06-28 00:00:00
1577969,05-07-2021,3403434,500291515,21024956,93,119902451313,30,159.81,2021-07-05 00:00:00
2533106,13-10-2021,3403434,500291515,21086664,81,119902451313,6,35.51,2021-10-13 00:00:00
1165055,25-05-2021,3403434,906625050,21021776,35,119900572828,864,1863.04,2021-05-25 00:00:00
2336217,21-09-2021,3403434,549488989,21083303,72,119900572828,60,129.38,2021-09-21 00:00:00
2458348,05-10-2021,3403434,549488989,21084936,74,119900572828,96,207,2021-10-05 00:00:00
39924,11-01-2021,3403434,529313232,21000301,41,119900572828,12,20.46,2021-01-11 00:00:00
1219490,31-05-2021,3403434,529313232,21035554,22,119900572828,12,19.92,2021-05-31 00:00:00
2259771,13-09-2021,3403434,529313232,21080949,70,119900572828,24,37.84,2021-09-13 00:00:00
22945,08-01-2021,3403434,502991313,20258208,3,119900572828,576,1231.08,2021-01-08 00:00:00
441973,24-02-2021,3403434,502991313,21010299,6,119900572828,576,1231.08,2021-02-24 00:00:00
500661,03-03-2021,3403434,502991313,21011516,1,119900572828,576,1231.08,2021-03-03 00:00:00
619337,17-03-2021,3403434,502991313,21015794,7,119900572828,576,1242.03,2021-03-17 00:00:00
679402,24-03-2021,3403434,502991313,21018049,5,119900572828,576,1242.03,2021-03-24 00:00:00
746797,01-04-2021,3403434,502991313,21022127,9,119900572828,576,1242.03,2021-04-01 00:00:00
801500,09-04-2021,3403434,502991313,21023570,6,119900572828,576,1242.03,2021-04-09 00:00:00
833279,14-04-2021,3403434,502991313,21024753,8,119900572828,576,1242.03,2021-04-14 00:00:00
953157,28-04-2021,3403434,502991313,21028448,6,119900572828,576,1242.03,2021-04-28 00:00:00
1144289,21-05-2021,3403434,502991313,21033917,3,119900572828,576,1242.03,2021-05-21 00:00:00
1206819,28-05-2021,3403434,502991313,21034769,8,119900572828,576,1242.03,2021-05-28 00:00:00
1484927,24-06-2021,3403434,502991313,21039691,2,119900572828,576,1242.03,2021-06-24 00:00:00
1610022,07-07-2021,3403434,502991313,21040111,10,119900572828,1152,2484.06,2021-07-07 00:00:00
2659337,27-10-2021,3403434,502991313,21089663,6,119900572828,576,1242.03,2021-10-27 00:00:00
102454,18-01-2021,3403434,500347676,21001330,16,119900572828,36,61.37,2021-01-18 00:00:00
444486,24-02-2021,3403434,500347676,21010352,7,119900572828,36,61.37,2021-02-24 00:00:00
607604,16-03-2021,3403434,500347676,21015125,4,119900572828,36,59.75,2021-03-16 00:00:00
724972,30-03-2021,3403434,500347676,21020800,6,119900572828,12,19.92,2021-03-30 00:00:00
1581138,05-07-2021,3403434,500347676,21017027,100,119900572828,96,151.37,2021-07-05 00:00:00
1581263,05-07-2021,3403434,500347676,21017041,106,119900572828,24,37.84,2021-07-05 00:00:00
25444,08-01-2021,3403434,500345151,21000061,63,119900572828,24,40.92,2021-01-08 00:00:00
102412,18-01-2021,3403434,500345151,21001785,52,119900572828,24,40.92,2021-01-18 00:00:00
208619,28-01-2021,3403434,500345151,21004566,59,119900572828,12,20.46,2021-01-28 00:00:00
363035,15-02-2021,3403434,500345151,21007784,22,119900572828,24,0,2021-02-15 00:00:00
444434,24-02-2021,3403434,500345151,21010443,43,119900572828,12,20.46,2021-02-24 00:00:00
512175,04-03-2021,3403434,500345151,21011938,21,119900572828,12,20.46,2021-03-04 00:00:00
570423,11-03-2021,3403434,500345151,21013968,32,119900572828,12,19.92,2021-03-11 00:00:00
812392,12-04-2021,3403434,500345151,21024117,55,119900572828,24,39.84,2021-04-12 00:00:00
1025732,07-05-2021,3403434,500345151,21030962,47,119900572828,24,39.84,2021-05-07 00:00:00
374250,16-02-2021,3403434,500291515,21008835,41,119900572828,24,40.92,2021-02-16 00:00:00
618718,17-03-2021,3403434,500291515,21016274,36,119900572828,24,39.84,2021-03-17 00:00:00
832585,14-04-2021,3403434,500291515,21024808,39,119900572828,24,39.84,2021-04-14 00:00:00
1047421,11-05-2021,3403434,500291515,21031660,46,119900572828,24,39.84,2021-05-11 00:00:00
1299956,08-06-2021,3403434,500291515,21037066,49,119900572828,12,19.92,2021-06-08 00:00:00
1509102,28-06-2021,3403434,500291515,21024888,85,119900572828,12,18.92,2021-06-28 00:00:00
1577961,05-07-2021,3403434,500291515,21024956,85,119900572828,108,170.29,2021-07-05 00:00:00
2533101,13-10-2021,3403434,500291515,21086664,75,119900572828,24,39.84,2021-10-13 00:00:00
993752,04-05-2021,3403434,900174646,21030148,43,119900172424,12,19.24,2021-05-04 00:00:00
1509110,28-06-2021,3403434,500291515,21024888,93,119900070101,6,62.45,2021-06-28 00:00:00
1577970,05-07-2021,3403434,500291515,21024956,94,119900070101,6,62.45,2021-07-05 00:00:00
2336193,21-09-2021,3403434,549488989,21083303,45,8325661010,36,33.92,2021-09-21 00:00:00
2398431,28-09-2021,3403434,549488989,21084026,46,8325661010,96,90.45,2021-09-28 00:00:00
2458324,05-10-2021,3403434,549488989,21084936,47,8325661010,12,11.31,2021-10-05 00:00:00
115946,19-01-2021,3403434,539784343,21002928,3,8325661010,288,305.74,2021-01-19 00:00:00
522200,05-03-2021,3403434,539784343,21012075,14,8325661010,864,917.22,2021-03-05 00:00:00
856929,16-04-2021,3403434,539784343,21025285,21,8325661010,288,284.34,2021-04-16 00:00:00
2669994,28-10-2021,3403434,539784343,21089497,81,8325661010,576,611.48,2021-10-28 00:00:00
607641,16-03-2021,3403434,500347676,21015125,41,8325661010,36,0,2021-03-16 00:00:00
895926,21-04-2021,3403434,500347676,21026063,13,8325661010,24,17.41,2021-04-21 00:00:00
1349416,11-06-2021,3403434,500347676,21037588,14,8325661010,24,17.41,2021-06-11 00:00:00
1581156,05-07-2021,3403434,500347676,21017027,121,8325661010,492,321.18,2021-07-05 00:00:00
1581288,05-07-2021,3403434,500347676,21017041,134,8325661010,48,31.33,2021-07-05 00:00:00
2523352,12-10-2021,3403434,500347676,21086059,47,8325661010,24,17.41,2021-10-12 00:00:00
274139,04-02-2021,3403434,500347474,21006033,1,8325661010,60,45.4,2021-02-04 00:00:00
547399,09-03-2021,3403434,500347474,21012886,45,8325661010,48,34.81,2021-03-09 00:00:00
965593,29-04-2021,3403434,500347474,21028855,27,8325661010,36,26.11,2021-04-29 00:00:00
1552380,01-07-2021,3403434,500347474,21017001,110,8325661010,12,7.83,2021-07-01 00:00:00
1552466,01-07-2021,3403434,500347474,21017024,82,8325661010,36,23.5,2021-07-01 00:00:00
2422054,30-09-2021,3403434,500347474,21083937,79,8325661010,24,17.41,2021-09-30 00:00:00
102436,18-01-2021,3403434,500345151,21001785,83,8325661010,24,18.16,2021-01-18 00:00:00
